Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,274,3,0.149,116.74239999999999,29.4,201.28,98.33,703.74,21.2
Well 1,274,3,0.15,117.63559999999998,29.0,202.82,98.38,703.74,21.0
Well 1,274,3,0.149,115.71,28.6,203.0,98.3,704.45,21.1
Well 1,274,3,0.149,115.1913,28.6,202.09,98.8,704.45,23.3
Well 1,275,3,0.152,115.70720000000001,28.6,206.62,98.61,703.74,22.9
Well 1,274,3,0.148,120.972,29.6,201.62,98.66,704.45,22.4
Well 1,274,3,0.145,116.4837,28.9,197.43,98.07,703.74,21.3
Well 1,274,3,0.149,110.98450000000001,28.7,201.79,98.19,703.74,21.8
Well 1,274,3,0.148,122.9821,29.1,201.61,97.96,704.4,21.1
Well 1,274,3,0.149,123.5189,28.7,202.49,97.85,705.1,21.0
Well 1,274,3,0.149,113.42800000000001,28.4,202.55,98.1,704.4,20.6
Well 1,274,3,0.149,113.2656,29.1,202.26,98.16,703.74,21.4
Well 1,274,3,0.149,113.23760000000001,28.8,202.21,98.41,703.74,21.2
Well 1,274,3,0.149,110.88000000000001,28.5,201.6,98.27,703.74,21.1
Well 1,274,3,0.146,109.43350000000001,28.8,198.97,98.77,704.4,21.0
Well 1,274,3,0.147,115.50699999999999,28.2,199.15,98.38,704.33,21.2
Well 1,274,3,0.148,116.74819999999998,28.5,201.29,97.91,704.4,21.4
Well 1,274,3,0.15,115.93799999999999,28.5,203.4,98.16,703.74,21.3
Well 1,274,3,0.149,114.89489999999999,28.9,201.57,97.99,704.4,21.2
Well 1,273,3,0.146,115.2692,29.5,198.74,97.77,703.74,21.0
Well 1,274,3,0.192,115.69259999999998,29.0,199.47,98.27,704.4,21.3
Well 1,239,2,0.126,177.0944,24.8,150.08,64.22,698.5,17.8
Well 1,276,2,0.142,134.9242,23.7,182.33,102.44,695.06,19.2
Well 1,275,2,0.142,118.8097,23.2,194.77,102.41,692.4,19.9
Well 1,274,3,0.166,130.9814,22.8,225.83,101.38,692.45,22.0
Well 1,273,3,0.182,123.74,21.3,247.48,101.26,688.96,22.1
Well 1,273,3,0.184,119.28479999999999,21.9,248.51,101.26,688.31,22.8
Well 1,273,3,0.185,115.1426,22.3,250.31,101.4,688.31,22.8
Well 1,273,3,0.187,116.99180000000001,22.2,254.33,101.07,688.31,23.2
Well 1,273,3,0.199,121.05,21.9,269.0,101.21,688.31,26.9
Well 1,273,3,0.214,118.78109999999998,21.5,289.71,101.04,686.88,28.1
Well 1,272,3,0.218,115.1982,21.7,295.38,101.26,686.23,27.6
Well 1,272,4,0.221,116.6646,22.0,299.14,101.04,686.29,26.9
Well 1,273,4,0.224,105.8085,21.7,302.31,101.35,685.46,26.9
Well 1,272,4,0.231,108.7695,21.8,310.77,100.87,684.93,27.5
Well 1,272,4,0.244,111.91780000000001,21.7,329.17,101.43,684.22,28.8
Well 1,272,4,0.257,118.0888,21.2,347.32,101.12,684.15,29.1
Well 1,271,4,0.261,116.09070000000001,21.3,351.79,100.76,682.14,29.5
Well 1,271,4,0.261,116.23920000000001,21.3,352.24,100.73,682.14,29.2
Well 1,271,4,0.26,119.10200000000002,21.8,350.3,101.1,682.14,30.1
Well 1,271,4,0.268,119.7768,21.9,362.96,101.07,681.49,30.3
Well 1,275,5,0.282,123.712,23.9,386.6,101.1,698.87,31.6
Well 1,276,6,0.294,121.52099999999999,25.5,405.07,100.98,702.38,31.7
Well 1,276,6,0.297,114.08040000000001,26.4,407.43,101.12,699.6,32.2
Well 1,276,6,0.295,125.426,27.6,404.6,100.87,700.12,31.8
Well 1,276,6,0.29,122.9522,28.1,396.62,101.1,699.66,32.2
Well 1,276,6,0.291,123.6993,28.2,399.03,100.98,699.66,32.7
Well 1,276,6,0.29,119.57399999999998,28.2,398.58,101.04,699.66,32.7
Well 1,276,6,0.291,119.50199999999998,28.4,398.34,101.26,699.66,33.0
Well 1,276,6,0.294,108.65880000000001,28.7,402.44,101.54,698.88,33.9
Well 1,276,6,0.294,108.7992,28.6,402.96,101.1,698.88,33.9
Well 1,276,6,0.293,108.27000000000001,28.5,401.0,101.24,699.59,34.0
Well 1,276,6,0.292,108.12960000000001,28.6,400.48,101.04,698.88,33.6
Well 1,276,6,0.293,108.46710000000002,28.6,401.73,101.32,698.88,34.0
Well 1,275,6,0.294,116.7366,28.4,402.54,100.93,698.88,33.8
Well 1,275,6,0.293,116.5365,28.7,401.85,100.84,698.88,33.6
Well 1,276,6,0.289,130.6437,29.1,395.89,101.21,698.88,33.9
Well 1,275,6,0.297,130.5408,28.7,407.94,101.15,698.23,34.6
Well 1,275,6,0.307,130.1411,28.2,419.81,101.18,697.52,35.1
Well 1,275,6,0.306,130.0698,28.6,419.58,101.1,698.17,34.6
Well 1,276,6,0.292,128.1184,29.5,400.37,101.24,698.88,36.4
Well 1,275,6,0.288,126.384,29.2,394.95,100.93,698.18,36.3
Well 1,275,6,0.288,118.50299999999999,29.3,395.01,100.9,698.88,36.4
Well 1,276,6,0.291,119.96699999999998,29.0,399.89,101.18,698.23,35.2
Well 1,275,6,0.304,120.4776,28.5,415.44,101.01,698.23,36.2
Well 1,275,6,0.304,116.6452,28.5,416.59,100.84,697.46,36.3
Well 1,275,6,0.298,118.55779999999999,29.0,408.82,101.01,698.88,35.5
Well 1,275,6,0.291,116.0174,29.4,400.06,101.07,698.23,36.3
Well 1,276,6,0.297,110.15190000000001,29.0,407.97,101.24,698.23,36.8
Well 1,275,6,0.298,122.472,29.0,408.24,101.26,698.88,36.3
Well 1,276,6,0.292,120.249,29.5,400.83,100.96,698.23,36.1
Well 1,275,6,0.296,121.851,29.4,406.17,101.18,697.52,36.2
Well 1,275,6,0.297,113.6632,29.3,405.94,100.96,697.52,34.8
Well 1,275,6,0.293,116.5539,29.3,401.91,101.01,697.52,35.2
Well 1,275,6,0.292,108.0216,29.3,400.08,101.04,698.23,35.2
Well 1,275,6,0.294,108.6804,29.4,402.52,100.98,698.23,35.9
Well 1,275,6,0.293,100.435,29.2,401.74,101.01,698.23,35.4
Well 1,275,7,0.295,101.05,29.9,404.2,101.15,697.52,35.8
Well 1,275,7,0.297,117.93719999999999,29.9,406.68,101.04,696.87,35.6
Well 1,275,7,0.297,117.6878,30.1,405.82,101.15,696.87,35.9
Well 1,275,7,0.297,117.5167,30.0,405.23,101.04,696.87,35.9
Well 1,275,6,0.295,105.11540000000001,29.4,404.29,101.1,697.52,34.9
Well 1,275,6,0.294,108.73440000000001,29.4,402.72,101.15,697.58,35.5
Well 1,275,6,0.296,109.2609,29.4,404.67,100.96,697.52,35.1
Well 1,275,6,0.295,109.07730000000001,29.8,403.99,100.93,697.58,35.3
Well 1,275,6,0.293,108.1431,30.2,400.53,101.1,697.52,35.1
Well 1,275,6,0.292,107.8515,30.1,399.45,101.38,697.58,36.1
Well 1,275,6,0.29,107.17110000000001,30.4,396.93,101.12,697.52,35.1
Well 1,275,6,0.291,107.6328,30.3,398.64,101.4,697.58,36.2
Well 1,275,6,0.294,96.34559999999999,30.0,401.44,101.18,696.87,36.3
Well 1,275,6,0.295,96.56400000000001,29.8,402.35,101.26,696.87,36.7
Well 1,275,6,0.293,84.1869,29.9,400.89,101.35,696.87,36.3
Well 1,275,6,0.294,104.2886,30.3,401.11,101.38,697.58,37.8
Well 1,275,6,0.286,110.09320000000001,31.8,393.19,100.96,698.23,37.1
Well 1,276,6,0.268,110.355,32.3,367.85,101.1,698.11,35.5
Well 1,276,6,0.286,117.79499999999999,31.5,392.65,101.26,698.23,35.9
Well 1,275,6,0.295,113.13120000000002,29.7,404.04,101.38,697.52,36.5
